rvec[0]	rvec[1]	rvec[2]	Yaw Raw	Pitch Raw	Roll Raw	Yaw Error	Pitch Error	Roll Error	Yaw Comp	Pitch Comp	Roll Comp	fpinfc[0]	fpinfc[1]	fpinfc[2]	fpinfc[3]	fpinfc[4]	fpinfc[5]	fpinfc[6]	fpinfc[7]	fpinfc[8]	fbinft[0]	fbinft[1]	fbinft[2]	fbinft[3]	fbinft[4]	fbinft[5]	fbinft[6]	fbinft[7]	fbinft[8]	Before Comp. X	Before Comp. Y	Before Comp Z.	Retro Normal X	Retro Normal Y	Retro Normal Z	Combo angle (degree)	Error Lateral	Error Longitudinal	ADM comp in fb X	ADM comp in fb Y	ADM comp in fb Z	Tracker Timestamp	Camera Timestamp	Trigger Counter	Operation Mode	AZ	EL	X	Y	Z	CX1	CY1	CX2	CY2	CX3	CY3	CX4	CY4	CX5	CY5	CX6	CY6	CX7	CY7	CX8	CY8	CX9	CY9	CX10	CY10	CX11	CY11	CX12	CY12	CX13	CY13	CX14	CY14	CX15	CY15	CX16	CY16	CX17	CY17	fpinft[0]	fpinft[1]	fpinft[2]	fpinft[3]	fpinft[4]	fpinft[5]	fpinft[6]	fpinft[7]	fpinft[8]	TipX	TipY	TipZ
0.94102	1.816	-0.49887	-85.1773	25.1286	40.0379	-0.178743	-0.100632	0.0539219	-84.9986	25.2293	39.984	0.339649	0.901165	-0.269333	-0.739429	0.0788647	-0.6686	-0.581278	0.426242	0.693134	0.998383	0.0568499	-0.000458027	-0.0568518	0.99835	-0.00804348	0	0.00805651	0.999968	245.486	4311.03	34.789	0.003865	0.999964	-0.007514	85.3523	-46.5889	103.073	-42.2773	-103.073	-19.5745	8.61113E+11	8.60995E+13	5333	TrackerOperationMode_Track	-3.259125	0.461609	197.426712	4210.684082	14.384752	1725.072876	696.828918	1497.902344	929.377991	1944.911255	940.573853	1652.470215	934.819275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297329	0.903996	-0.307225	-0.752843	0.024073	-0.65776	-0.587216	0.426863	0.687725	217.640335	4264.54834	-45.15535
0.940957	1.815879	-0.498898	-85.176689	25.120943	40.038506	-0.178767	-0.100653	0.053903	-84.997917	25.221598	39.984604	0.339582	0.901221	-0.269229	-0.739424	0.07888	-0.668603	-0.581322	0.42612	0.693171	0.998382	0.056857	-0.000458	-0.056859	0.99835	-0.008046	0	0.008059	0.999968	245.516861	4311.015625	34.798298	0.003865	0.999964	-0.007514	85.351493	-46.587302	103.06933	-42.278423	-103.069328	-19.568136	8.61127E+11	8.6101E+13	5364	TrackerOperationMode_Track	-3.259537	0.461731	197.455582	4210.677734	14.400198	1725.094604	696.790466	1497.859131	929.411133	1944.778564	940.671265	1652.399658	934.930298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297258	0.904053	-0.307126	-0.752835	0.024079	-0.657768	-0.587262	0.426742	0.68776	217.660721	4264.54248	-45.142181
0.937152	1.799051	-0.503257	-85.020706	24.169624	39.947979	-0.181114	-0.103073	0.051564	-84.839592	24.272697	39.896416	0.331605	0.907904	-0.256414	-0.74038	0.081993	-0.667169	-0.584701	0.41108	0.699384	0.998382	0.056856	-0.000458	-0.056858	0.99835	-0.008043	0	0.008056	0.999968	245.514099	4311.008301	34.785877	0.003865	0.999964	-0.007514	85.173319	-46.253591	102.396155	-42.290707	-102.396156	-18.732077	8.61135E+11	8.61017E+13	5379	TrackerOperationMode_Track	-3.259499	0.461571	197.478516	4211.336426	15.229521	1725.231323	696.982544	1497.927612	929.319824	1944.944458	940.640259	1652.448242	934.777283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28924	0.910909	-0.294252	-0.75331	0.02693	-0.657114	-0.590647	0.411727	0.693987	216.576965	4265.130371	-44.740707
0.942348	1.815044	-0.496048	-85.004501	25.138439	40.119961	-0.178517	-0.100556	0.053897	-84.825981	25.238995	40.066063	0.342355	0.900851	-0.266945	-0.737434	0.081572	-0.670476	-0.582224	0.426395	0.692245	0.998382	0.056858	-0.000458	-0.05686	0.99835	-0.008043	0	0.008056	0.999968	245.522079	4311.015625	34.788326	0.003865	0.999964	-0.007514	85.195457	-46.294969	102.479622	-42.005112	-102.479622	-19.462646	8.61138E+11	8.61021E+13	5387	TrackerOperationMode_Track	-3.259605	0.461594	197.767029	4211.25	14.500711	1725.130981	696.773071	1497.887451	929.324524	1944.858887	940.581177	1652.3396	934.77356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300139	0.903837	-0.304952	-0.751	0.026785	-0.659759	-0.588146	0.427038	0.686821	217.79509	4265.26416	-44.966164
0.942515	1.815667	-0.495901	-85.010422	25.174238	40.121803	-0.178425	-0.100464	0.053986	-84.831993	25.274704	40.067818	0.342647	0.900595	-0.267434	-0.737416	0.081454	-0.670509	-0.582074	0.426959	0.692023	0.998383	0.056852	-0.000458	-0.056854	0.99835	-0.008045	0	0.008058	0.999968	245.494843	4311.003418	34.794956	0.003865	0.999964	-0.007514	85.202249	-46.307668	102.50524	-42.004532	-102.505241	-19.494083	8.61142E+11	8.61025E+13	5395	TrackerOperationMode_Track	-3.259254	0.461685	197.739532	4211.212402	14.475534	1724.981079	696.686157	1497.80127	929.325439	1944.935181	940.520813	1652.260742	934.769653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300436	0.903574	-0.305439	-0.750998	0.026682	-0.659765	-0.587997	0.427601	0.686598	217.809433	4265.227539	-44.976173
0.942473	1.815541	-0.49596	-85.010658	25.166567	40.120407	-0.178446	-0.100484	0.053967	-84.832214	25.26705	40.066441	0.342561	0.900652	-0.267353	-0.737441	0.081455	-0.670482	-0.582094	0.426838	0.692081	0.998383	0.056852	-0.000458	-0.056854	0.99835	-0.008045	0	0.008058	0.999968	245.494843	4311.001465	34.794724	0.003865	0.999964	-0.007514	85.202169	-46.307519	102.504938	-42.007011	-102.504936	-19.488386	8.61146E+11	8.61028E+13	5402	TrackerOperationMode_Track	-3.259254	0.461685	197.737076	4211.210938	14.481003	1725.116821	696.800415	1497.93396	929.339233	1944.865967	940.539368	1652.369873	934.740967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300348	0.903631	-0.305356	-0.751017	0.026681	-0.659743	-0.588017	0.42748	0.686656	217.799789	4265.224609	-44.974789
0.942517	1.81567	-0.495898	-85.010307	25.174463	40.121876	-0.178424	-0.100464	0.053986	-84.831886	25.274927	40.06789	0.342651	0.900593	-0.267435	-0.737415	0.081455	-0.670511	-0.582074	0.426962	0.692021	0.998382	0.056854	-0.000458	-0.056856	0.99835	-0.008043	0	0.008056	0.999968	245.50528	4311.008789	34.785519	0.003865	0.999964	-0.007514	85.202158	-46.307498	102.504896	-42.004299	-102.504898	-19.494183	8.61149E+11	8.61032E+13	5410	TrackerOperationMode_Track	-3.259384	0.461563	197.75	4211.217773	14.466217	1725.005249	696.767456	1497.855591	929.350037	1944.941406	940.488892	1652.278076	934.759766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300438	0.903572	-0.305441	-0.750998	0.026682	-0.659765	-0.587995	0.427605	0.686598	217.820114	4265.23291	-44.98547
0.942467	1.815673	-0.495892	-85.011086	25.173376	40.123714	-0.178433	-0.100469	0.053984	-84.832649	25.273846	40.069733	0.342639	0.900602	-0.26742	-0.737399	0.081444	-0.67053	-0.582101	0.426945	0.692009	0.998382	0.056855	-0.000458	-0.056857	0.99835	-0.008044	0	0.008057	0.999968	245.506546	4311.016602	34.790443	0.003865	0.999964	-0.007514	85.202796	-46.308691	102.507303	-42.00576	-102.507301	-19.493874	8.61153E+11	8.61035E+13	5417	TrackerOperationMode_Track	-3.259399	0.461632	197.749634	4211.223633	14.471312	1725.075562	696.781799	1497.854248	929.326355	1944.922729	940.55011	1652.278076	934.759766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300427	0.90358	-0.305427	-0.750981	0.02667	-0.659785	-0.588023	0.427587	0.686584	217.818558	4265.240723	-44.979172
0.942514	1.81566	-0.495917	-85.010979	25.173746	40.121151	-0.178426	-0.100466	0.053985	-84.832558	25.274212	40.067165	0.342632	0.9006	-0.267439	-0.737428	0.081445	-0.670498	-0.582068	0.426951	0.692033	0.998382	0.056853	-0.000458	-0.056855	0.99835	-0.008044	0	0.008057	0.999968	245.501221	4311.024902	34.792408	0.003865	0.999964	-0.007514	85.202744	-46.308594	102.507108	-42.005547	-102.507111	-19.494099	8.61156E+11	8.61039E+13	5425	TrackerOperationMode_Track	-3.259323	0.461647	197.744675	4211.231934	14.473024	1725.013672	696.756042	1497.883057	929.320068	1944.902832	940.515686	1652.283813	934.740723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300419	0.903578	-0.305443	-0.751009	0.026672	-0.659753	-0.587991	0.427593	0.686608	217.814941	4265.246094	-44.979454
0.942506	1.815727	-0.495882	-85.011253	25.177084	40.123009	-0.17842	-0.100458	0.053993	-84.832832	25.277544	40.069019	0.342671	0.900575	-0.267471	-0.737405	0.081438	-0.670524	-0.582075	0.427003	0.691995	0.998383	0.056852	-0.000458	-0.056854	0.99835	-0.008045	0	0.008058	0.999968	245.493301	4311.01709	34.795124	0.003865	0.999964	-0.007514	85.203109	-46.309277	102.508485	-42.005032	-102.508484	-19.496832	8.6116E+11	8.61042E+13	5432	TrackerOperationMode_Track	-3.259224	0.461693	197.737366	4211.222656	14.472916	1724.820435	696.737305	1497.706299	929.234253	1944.822998	940.401489	1652.134399	934.597778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300461	0.903553	-0.305476	-0.750987	0.026668	-0.659778	-0.587998	0.427646	0.686569	217.810471	4265.239258	-44.976692
