Op. Mode	AZ	EL	X	Y	Z	C1x	C1y	C2x	C2y	C3x	C3y	C4x	C4y	Pitch	Roll	Yaw	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]
TrackerOperationMode_Track	-16.132492	-4.491188	854.089417	2952.775391	-241.438782																				
TrackerOperationMode_Track	-16.1325	-4.489906	854.090271	2952.777832	-241.370331																				
TrackerOperationMode_Track	-16.132668	-4.490036	854.101379	2952.78418	-241.377884																				
TrackerOperationMode_Track	-16.132942	-4.490234	854.111511	2952.766113	-241.387451																				
TrackerOperationMode_Track	-16.13298	-4.490372	854.120667	2952.790039	-241.396896																				
TrackerOperationMode_Track	-16.13282	-4.490341	854.105469	2952.768311	-241.392883																				
TrackerOperationMode_Track	-16.132713	-4.490242	854.09552	2952.754395	-241.386719																				
TrackerOperationMode_Track	-16.133072	-4.490295	854.118103	2952.762939	-241.390213																				
TrackerOperationMode_Track	-16.13279	-4.490265	854.104004	2952.770264	-241.389145																				
TrackerOperationMode_Track	-16.132652	-4.490433	854.100525	2952.783691	-241.399078																				
TrackerOperationMode_Track	-16.132812	-4.49041	854.115845	2952.805664	-241.399719																				
TrackerOperationMode_Track	-16.132881	-4.490486	854.11084	2952.774414	-241.401169																				
TrackerOperationMode_Track	-16.132805	-4.490524	854.100098	2952.753174	-241.401535																				
TrackerOperationMode_Track	-16.132652	-4.490173	854.098633	2952.7771	-241.384842																				
TrackerOperationMode_Track	-16.132805	-4.490318	854.113892	2952.800781	-241.39447																				
TrackerOperationMode_Track	-16.132874	-4.490486	854.114502	2952.790527	-241.40274																				
TrackerOperationMode_Track	-16.132744	-4.490501	854.112549	2952.808105	-241.404846																				
TrackerOperationMode_Track	-16.132866	-4.490402	854.10968	2952.77417	-241.396667																				
TrackerOperationMode_Track	-16.132866	-4.490486	854.115784	2952.79541	-241.403305																				
TrackerOperationMode_Track	-16.132683	-4.490364	854.100769	2952.778809	-241.395004																				
TrackerOperationMode_Track	-16.132622	-4.49054	854.101746	2952.793945	-241.405579																				
TrackerOperationMode_Track	-16.132614	-4.490417	854.105042	2952.805664	-241.399719																				
TrackerOperationMode_Track	-16.132591	-4.490364	854.100037	2952.793945	-241.396347																				
TrackerOperationMode_Track	-16.132591	-4.490456	854.108459	2952.822754	-241.403564																				
TrackerOperationMode_Track	-16.132591	-4.49041	854.101685	2952.799561	-241.398972																				
TrackerOperationMode_Track	-16.132683	-4.490425	854.10498	2952.792725	-241.399796																				
TrackerOperationMode_Track	-16.132713	-4.490501	854.102966	2952.780518	-241.402893																				
TrackerOperationMode_Track	-16.132622	-4.490425	854.093445	2952.765381	-241.397293																				
TrackerOperationMode_Track	-16.133453	-4.490158	854.135864	2952.751465	-241.382294																				
TrackerOperationMode_Track	-16.132896	-4.490463	854.106201	2952.756348	-241.398727																				
TrackerOperationMode_Track	-16.133125	-4.490425	854.115967	2952.74585	-241.396255																				
