rvec[0]	rvec[1]	rvec[2]	Yaw Raw	Pitch Raw	Roll Raw	Yaw Error	Pitch Error	Roll Error	Yaw Comp	Pitch Comp	Roll Comp	fpinfc[0]	fpinfc[1]	fpinfc[2]	fpinfc[3]	fpinfc[4]	fpinfc[5]	fpinfc[6]	fpinfc[7]	fpinfc[8]	fbinft[0]	fbinft[1]	fbinft[2]	fbinft[3]	fbinft[4]	fbinft[5]	fbinft[6]	fbinft[7]	fbinft[8]	Before Comp. X	Before Comp. Y	Before Comp Z.	Retro Normal X	Retro Normal Y	Retro Normal Z	Combo angle (degree)	Error Lateral	Error Longitudinal	ADM comp in fb X	ADM comp in fb Y	ADM comp in fb Z	Tracker Timestamp	Camera Timestamp	Trigger Counter	Operation Mode	AZ	EL	X	Y	Z	CX1	CY1	CX2	CY2	CX3	CY3	CX4	CY4	CX5	CY5	CX6	CY6	CX7	CY7	CX8	CY8	CX9	CY9	CX10	CY10	CX11	CY11	CX12	CY12	CX13	CY13	CX14	CY14	CX15	CY15	CX16	CY16	CX17	CY17	fpinft[0]	fpinft[1]	fpinft[2]	fpinft[3]	fpinft[4]	fpinft[5]	fpinft[6]	fpinft[7]	fpinft[8]	TipX	TipY	TipZ	
0.911305	1.61643	-0.574531	-83.9873	14.1213	37.1861	-0.196639	-0.130395	0.0303196	-83.7907	14.2517	37.1558	0.234022	0.963537	-0.129728	-0.776238	0.104832	-0.621663	-0.585396	0.246183	0.772467	0.998421	0.0561702	-0.000448437	-0.056172	0.998389	-0.00797067	0	0.00798327	0.999968	242.528	4310.77	34.47	0.003865	0.999964	-0.007514	83.8864	-43.8902	97.6296	-42.6132	-97.6296	-10.5103	865031693720	86491436544000	3159	TrackerOperationMode_Track	-3.220116	0.457413	194.503235	4215.779297	23.180616	1745.698975	697.153076	1513.030151	927.926636	1958.385864	942.933960	1805.445923	938.953308	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.190314	0.967794	-0.164789	-0.783467	0.048577	-0.619532	-0.591574	0.247012	0.767480	202.535416	4266.330078	-41.896698	
0.902779	1.590645	-0.582706	-83.854225	12.597135	36.991169	-0.196931	-0.138069	0.028605	-83.657295	12.735205	36.962566	0.220014	0.969429	-0.108636	-0.779494	0.107757	-0.617072	-0.586501	0.220446	0.779372	0.998421	0.056170	-0.000448	-0.056172	0.998389	-0.007970	0.000000	0.007983	0.999968	242.527344	4310.782715	34.466854	0.003865	0.999964	-0.007514	83.720573	-43.591550	97.027357	-42.585545	-97.027359	-9.310989	865035026867	86491769867000	3166	TrackerOperationMode_Track	-3.220100	0.457375	194.563187	4216.377930	24.381630	1745.774780	697.230835	1513.107788	927.893616	1958.460449	942.892944	1805.306396	938.997681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176145	0.973852	-0.143475	-0.785922	0.051372	-0.616187	-0.592704	0.221299	0.774421	200.793747	4266.635254	-41.119118	
0.902821	1.589593	-0.582412	-83.815590	12.550192	36.994968	-0.196894	-0.138245	0.028544	-83.618690	12.688437	36.966427	0.220070	0.969534	-0.107573	-0.779357	0.108430	-0.617127	-0.586661	0.219649	0.779476	0.998421	0.056170	-0.000448	-0.056172	0.998389	-0.007970	0.000000	0.007983	0.999968	242.529190	4310.790039	34.468243	0.003865	0.999964	-0.007514	83.681720	-43.521785	96.886683	-42.524860	-96.886681	-9.261856	865038836407	86492150800000	3174	TrackerOperationMode_Track	-3.220123	0.457397	194.633469	4216.521973	24.433235	1745.670532	697.362854	1513.045288	927.878174	1958.454834	942.926208	1805.411377	939.016235	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176209	0.973996	-0.142417	-0.785788	0.052044	-0.616303	-0.592864	0.220508	0.774525	200.775864	4266.785156	-41.071495	
0.902911	1.589563	-0.582282	-83.807770	12.552153	36.996948	-0.196881	-0.138221	0.028544	-83.610886	12.690374	36.968407	0.220200	0.969512	-0.107508	-0.779304	0.108562	-0.617171	-0.586684	0.219682	0.779450	0.998421	0.056170	-0.000448	-0.056172	0.998389	-0.007970	0.000000	0.007983	0.999968	242.527161	4310.774902	34.467796	0.003865	0.999964	-0.007514	83.674121	-43.508148	96.859187	-42.511189	-96.859184	-9.260540	865042169554	86492484136000	3181	TrackerOperationMode_Track	-3.220100	0.457390	194.646667	4216.533691	24.434338	1745.710693	697.309082	1513.022705	927.944824	1958.483521	942.938782	1805.411377	939.073730	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176342	0.973981	-0.142354	-0.785741	0.052177	-0.616351	-0.592886	0.220542	0.774498	200.783981	4266.799805	-41.068409	
0.902756	1.589447	-0.582238	-83.806557	12.542739	37.003025	-0.196912	-0.138271	0.028528	-83.609642	12.681010	36.974499	0.220133	0.969546	-0.107344	-0.779244	0.108587	-0.617242	-0.586788	0.219523	0.779416	0.998421	0.056170	-0.000448	-0.056172	0.998389	-0.007970	0.000000	0.007983	0.999968	242.528091	4310.804199	34.467415	0.003865	0.999964	-0.007514	83.672634	-43.505481	96.853809	-42.510101	-96.853806	-9.253014	865045502702	86492817441000	3188	TrackerOperationMode_Track	-3.220100	0.457382	194.648987	4216.567871	24.441536	1745.898193	697.402039	1512.993408	927.896545	1958.407959	942.987854	1805.346069	939.048828	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176278	0.974016	-0.142195	-0.785677	0.052201	-0.616430	-0.592990	0.220383	0.774464	200.772934	4266.840332	-41.057495	
0.902846	1.589362	-0.582357	-83.807144	12.540256	36.994881	-0.196882	-0.138281	0.028531	-83.610268	12.678537	36.966347	0.220084	0.969556	-0.107349	-0.779337	0.108577	-0.617127	-0.586683	0.219481	0.779507	0.998421	0.056170	-0.000448	-0.056172	0.998389	-0.007970	0.000000	0.007982	0.999968	242.528305	4310.774414	34.465752	0.003865	0.999964	-0.007514	83.673250	-43.506586	96.856037	-42.511585	-96.856033	-9.251383	865049312042	86493198384000	3196	TrackerOperationMode_Track	-3.220116	0.457359	194.647552	4216.536133	24.441525	1745.713135	697.212769	1513.000488	927.850830	1958.439087	942.948425	1805.369873	939.000244	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176224	0.974026	-0.142193	-0.785769	0.052191	-0.616315	-0.592885	0.220340	0.774556	200.771271	4266.799316	-41.064846	
0.903031	1.589785	-0.582191	-83.807068	12.566673	36.997982	-0.196870	-0.138145	0.028561	-83.610199	12.704818	36.969421	0.220358	0.969456	-0.107692	-0.779274	0.108567	-0.617208	-0.586664	0.219928	0.779395	0.998421	0.056170	-0.000448	-0.056172	0.998389	-0.007971	0.000000	0.007983	0.999968	242.528488	4310.798340	34.469097	0.003865	0.999964	-0.007514	83.673781	-43.507538	96.857956	-42.508244	-96.857956	-9.271201	865052645189	86493531693000	3203	TrackerOperationMode_Track	-3.220100	0.457405	194.651001	4216.558105	24.424961	1745.767456	697.282837	1513.126465	927.892761	1958.497681	942.878723	1805.290405	939.021301	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176502	0.973925	-0.142540	-0.785720	0.052183	-0.616377	-0.592867	0.220788	0.774443	200.804047	4266.826172	-41.074665	
0.902966	1.589592	-0.582291	-83.807610	12.554956	36.995007	-0.196870	-0.138206	0.028549	-83.610741	12.693162	36.966457	0.220227	0.969501	-0.107551	-0.779321	0.108563	-0.617149	-0.586651	0.219730	0.779461	0.998421	0.056171	-0.000448	-0.056173	0.998389	-0.007972	0.000000	0.007984	0.999968	242.532837	4310.803711	34.473778	0.003865	0.999964	-0.007514	83.674063	-43.508044	96.858975	-42.510635	-96.858978	-9.262600	865056454729	86493912634000	3211	TrackerOperationMode_Track	-3.220161	0.457466	194.652802	4216.562500	24.438131	1745.818848	697.168091	1513.134399	927.873901	1958.535889	942.997803	1805.398315	939.044495	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176367	0.973970	-0.142397	-0.785760	0.052177	-0.616327	-0.592854	0.220590	0.774509	200.793747	4266.826660	-41.065765	
0.902869	1.589308	-0.582457	-83.809204	12.537527	36.989914	-0.196868	-0.138297	0.028532	-83.612343	12.675824	36.961380	0.220019	0.969570	-0.107354	-0.779401	0.108543	-0.617051	-0.586622	0.219435	0.779566	0.998421	0.056168	-0.000448	-0.056170	0.998389	-0.007972	0.000000	0.007984	0.999968	242.518036	4310.796875	34.474434	0.003865	0.999964	-0.007514	83.675257	-43.510186	96.863295	-42.515553	-96.863297	-9.250080	865059787876	86494245951000	3218	TrackerOperationMode_Track	-3.219971	0.457474	194.633163	4216.551270	24.451260	1745.654175	697.229370	1513.118286	927.886047	1958.573120	942.980835	1805.448120	938.965759	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176157	0.974038	-0.142192	-0.785828	0.052159	-0.616242	-0.592826	0.220294	0.774615	200.756699	4266.808594	-41.059643	
0.902700	1.589139	-0.582414	-83.807037	12.525178	36.996037	-0.196900	-0.138360	0.028512	-83.610138	12.663538	36.967525	0.219935	0.969613	-0.107140	-0.779341	0.108586	-0.617120	-0.586734	0.219225	0.779541	0.998421	0.056170	-0.000448	-0.056172	0.998389	-0.007970	0.000000	0.007983	0.999968	242.527786	4310.796387	34.468113	0.003865	0.999964	-0.007514	83.672759	-43.505705	96.854259	-42.513157	-96.854256	-9.240004	865063597216	86494626906000	3226	TrackerOperationMode_Track	-3.220100	0.457390	194.645599	4216.560059	24.455229	1745.862183	697.269531	1513.030151	927.835388	1958.361938	943.001343	1805.404297	939.007263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176076	0.974083	-0.141984	-0.785763	0.052199	-0.616321	-0.592936	0.220085	0.774590	200.751663	4266.823730	-41.052429	
