rvec[0]	rvec[1]	rvec[2]	Yaw Raw	Pitch Raw	Roll Raw	Yaw Error	Pitch Error	Roll Error	Yaw Comp	Pitch Comp	Roll Comp	fpinfc[0]	fpinfc[1]	fpinfc[2]	fpinfc[3]	fpinfc[4]	fpinfc[5]	fpinfc[6]	fpinfc[7]	fpinfc[8]	fbinft[0]	fbinft[1]	fbinft[2]	fbinft[3]	fbinft[4]	fbinft[5]	fbinft[6]	fbinft[7]	fbinft[8]	Before Comp. X	Before Comp. Y	Before Comp Z.	Retro Normal X	Retro Normal Y	Retro Normal Z	Combo angle (degree)	Error Lateral	Error Longitudinal	ADM comp in fb X	ADM comp in fb Y	ADM comp in fb Z	Tracker Timestamp	Camera Timestamp	Trigger Counter	Operation Mode	AZ	EL	X	Y	Z	CX1	CY1	CX2	CY2	CX3	CY3	CX4	CY4	CX5	CY5	CX6	CY6	CX7	CY7	CX8	CY8	CX9	CY9	CX10	CY10	CX11	CY11	CX12	CY12	CX13	CY13	CX14	CY14	CX15	CY15	CX16	CY16	CX17	CY17	fpinft[0]	fpinft[1]	fpinft[2]	fpinft[3]	fpinft[4]	fpinft[5]	fpinft[6]	fpinft[7]	fpinft[8]	TipX	TipY	TipZ	
0.851445	1.572291	-0.610967	-85.656898	10.140052	37.469219	-0.205934	-0.154996	0.025201	-85.450958	10.295048	37.444019	0.171285	0.980801	-0.093224	-0.782829	0.078035	-0.617324	-0.598198	0.178717	0.781166	0.998404	0.056481	-0.000434	-0.056483	0.998374	-0.007678	0.000000	0.007690	0.999970	243.821609	4309.860352	33.198719	0.003865	0.999964	-0.007514	85.431805	-46.738243	103.373822	-46.049248	-103.373825	-7.995629	863037748202	86292089797000	1949	TrackerOperationMode_Track	-3.237946	0.440636	192.010681	4209.316895	24.408333	1734.691162	721.165588	1492.275879	935.674072	1964.218872	950.076965	1730.355225	877.035400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127056	0.983565	-0.128282	-0.786638	0.021138	-0.617053	-0.604200	0.179312	0.776395	196.909012	4259.822266	-41.014832	
0.851463	1.572468	-0.610857	-85.656540	10.149856	37.473938	-0.205945	-0.154944	0.025209	-85.450600	10.304799	37.448730	0.171399	0.980770	-0.093339	-0.782769	0.078039	-0.617400	-0.598243	0.178885	0.781092	0.998403	0.056484	-0.000434	-0.056486	0.998374	-0.007680	0.000000	0.007692	0.999970	243.833771	4309.851562	33.206245	0.003865	0.999964	-0.007514	85.431542	-46.737748	103.372824	-46.047394	-103.372826	-8.003416	863041557742	86292470736000	1957	TrackerOperationMode_Track	-3.238106	0.440735	192.024475	4209.309082	24.407902	1734.538574	721.132263	1492.044189	935.716614	1964.159668	950.046631	1730.174438	877.115295	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127172	0.983535	-0.128402	-0.786583	0.021139	-0.617122	-0.604247	0.179480	0.776320	196.932968	4259.820312	-41.010075	
0.851481	1.572488	-0.610789	-85.654037	10.151804	37.476105	-0.205947	-0.154929	0.025209	-85.448090	10.306733	37.450893	0.171457	0.980761	-0.093332	-0.782736	0.078082	-0.617436	-0.598269	0.178918	0.781065	0.998403	0.056494	-0.000435	-0.056496	0.998373	-0.007681	0.000000	0.007693	0.999970	243.879822	4309.856934	33.209961	0.003865	0.999964	-0.007514	85.429080	-46.733116	103.363480	-46.042553	-103.363480	-8.004212	863045367082	86292851670000	1965	TrackerOperationMode_Track	-3.238716	0.440781	192.074814	4209.324219	24.410810	1734.678711	721.305725	1492.206909	935.690735	1964.144897	950.025269	1730.300659	877.099609	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127223	0.983528	-0.128404	-0.786555	0.021171	-0.617158	-0.604273	0.179513	0.776292	196.983490	4259.837891	-41.005043	
0.851441	1.572439	-0.610854	-85.656242	10.147933	37.474621	-0.205950	-0.154954	0.025206	-85.450294	10.302887	37.449417	0.171385	0.980776	-0.093307	-0.782762	0.078045	-0.617408	-0.598256	0.178852	0.781090	0.998403	0.056487	-0.000435	-0.056488	0.998374	-0.007682	0.000000	0.007694	0.999970	243.846115	4309.866211	33.214943	0.003865	0.999964	-0.007514	85.431207	-46.737118	103.371553	-46.047039	-103.371552	-8.001771	863048700229	86293185002000	1972	TrackerOperationMode_Track	-3.238258	0.440849	192.036987	4209.325195	24.418049	1734.763428	721.296875	1492.272339	935.746887	1964.232910	950.121887	1730.392456	877.140747	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127155	0.983540	-0.128373	-0.786575	0.021142	-0.617133	-0.604261	0.179447	0.776316	196.943039	4259.836914	-40.999439	
0.851475	1.572384	-0.610941	-85.657494	10.145509	37.469799	-0.205933	-0.154967	0.025207	-85.451561	10.300477	37.444592	0.171334	0.980785	-0.093303	-0.782820	0.078024	-0.617337	-0.598195	0.178810	0.781146	0.998403	0.056486	-0.000434	-0.056488	0.998374	-0.007678	0.000000	0.007691	0.999970	243.843781	4309.845215	33.198921	0.003865	0.999964	-0.007514	85.432466	-46.739488	103.376334	-46.049713	-103.376335	-8.000214	863052033377	86293518317000	1979	TrackerOperationMode_Track	-3.238243	0.440643	192.031738	4209.299805	24.403919	1734.500854	721.159180	1492.146484	935.713562	1964.198120	950.080139	1730.305908	877.074280	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127102	0.983549	-0.128364	-0.786632	0.021121	-0.617061	-0.604198	0.179405	0.776375	196.936981	4259.805664	-41.018177	
0.851408	1.572426	-0.610843	-85.656281	10.146516	37.476089	-0.205958	-0.154963	0.025203	-85.450325	10.301479	37.450886	0.171372	0.980780	-0.093284	-0.782748	0.078045	-0.617426	-0.598279	0.178828	0.781078	0.998403	0.056483	-0.000435	-0.056485	0.998374	-0.007682	0.000000	0.007694	0.999970	243.832123	4309.872559	33.215561	0.003865	0.999964	-0.007514	85.431209	-46.737123	103.371563	-46.047237	-103.371567	-8.000639	863055842917	86293899255000	1987	TrackerOperationMode_Track	-3.238075	0.440857	192.023102	4209.331543	24.419785	1734.699219	721.350281	1492.209595	935.746887	1964.216187	950.080933	1730.287842	877.085571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127146	0.983545	-0.128349	-0.786559	0.021145	-0.617153	-0.604284	0.179423	0.776304	196.927139	4259.845215	-40.996559	
0.851476	1.572481	-0.610826	-85.655418	10.151061	37.474766	-0.205945	-0.154936	0.025210	-85.449478	10.305997	37.449554	0.171428	0.980765	-0.093341	-0.782756	0.078058	-0.617414	-0.598252	0.178905	0.781081	0.998403	0.056487	-0.000435	-0.056488	0.998374	-0.007683	0.000000	0.007695	0.999970	243.846680	4309.858398	33.219700	0.003865	0.999964	-0.007514	85.430447	-46.735689	103.368670	-46.045193	-103.368668	-8.004043	863059176064	86294232640000	1994	TrackerOperationMode_Track	-3.238274	0.440910	192.039520	4209.320312	24.420444	1734.720337	721.300354	1492.270752	935.739075	1964.220581	950.076477	1730.321045	877.151733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127199	0.983530	-0.128407	-0.786570	0.021155	-0.617139	-0.604258	0.179501	0.776306	196.948425	4259.832520	-40.996532	
0.851522	1.572306	-0.611006	-85.656960	10.142474	37.465271	-0.205913	-0.154980	0.025208	-85.451050	10.297455	37.440063	0.171302	0.980794	-0.093270	-0.782870	0.078033	-0.617273	-0.598139	0.178759	0.781201	0.998403	0.056487	-0.000434	-0.056488	0.998374	-0.007675	0.000000	0.007688	0.999970	243.846390	4309.874512	33.187138	0.003865	0.999964	-0.007514	85.431958	-46.738531	103.374403	-46.049194	-103.374405	-7.997613	863062985404	86294613504000	2002	TrackerOperationMode_Track	-3.238258	0.440475	192.034943	4209.331055	24.395054	1734.821533	721.005554	1492.380859	935.686035	1964.314941	950.092407	1730.472046	877.067810	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127067	0.983558	-0.128328	-0.786682	0.021131	-0.616996	-0.604140	0.179353	0.776432	196.937103	4259.831543	-41.031422	
0.851494	1.572308	-0.611027	-85.658485	10.141706	37.465382	-0.205918	-0.154988	0.025207	-85.452576	10.296694	37.440174	0.171274	0.980798	-0.093276	-0.782874	0.078007	-0.617271	-0.598142	0.178745	0.781202	0.998403	0.056484	-0.000435	-0.056486	0.998374	-0.007681	0.000000	0.007693	0.999970	243.835052	4309.874023	33.208828	0.003865	0.999964	-0.007514	85.433447	-46.741333	103.380056	-46.052067	-103.380058	-7.997462	863066318551	86294946836000	2009	TrackerOperationMode_Track	-3.238106	0.440773	192.020676	4209.324707	24.416313	1734.539429	721.086426	1492.267578	935.673889	1964.191772	950.061096	1730.280029	877.038696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127041	0.983561	-0.128332	-0.786681	0.021107	-0.616999	-0.604147	0.179340	0.776430	196.923157	4259.825684	-41.009880	
0.851532	1.572563	-0.610755	-85.653374	10.156977	37.476143	-0.205940	-0.154900	0.025216	-85.447433	10.311875	37.450924	0.171520	0.980744	-0.093394	-0.782730	0.078092	-0.617443	-0.598260	0.179006	0.781052	0.998403	0.056485	-0.000434	-0.056486	0.998374	-0.007679	0.000000	0.007692	0.999970	243.837479	4309.867188	33.204021	0.003865	0.999964	-0.007514	85.428503	-46.732031	103.361291	-46.040764	-103.361290	-8.008180	863070127891	86295327763000	2017	TrackerOperationMode_Track	-3.238152	0.440704	192.035370	4209.335938	24.401058	1734.853638	721.375793	1492.411621	935.763489	1964.160645	950.035828	1730.319580	877.145325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127293	0.983511	-0.128461	-0.786551	0.021191	-0.617161	-0.604263	0.179602	0.776280	196.948868	4259.849609	-41.014294	
