Op. Mode	AZ	EL	X	Y	Z	C1x	C1y	C2x	C2y	C3x	C3y	C4x	C4y	Pitch	Roll	Yaw	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]
TrackerOperationMode_Track	-2.990395	0.052071	160.165604	3065.980225	2.790323	1695.318481	346.774506	1640.977417	661.556274	1585.768921	996.292419	1831.577759	990.725159	-2.170523	-1.182972	-13.172784	0.960095	0.279051	-0.018674	-0.278216	0.959767	0.037992	0.028524	-0.03128	0.999104
TrackerOperationMode_Track	-2.990356	0.051926	160.163651	3065.979492	2.782667	1695.253784	346.741241	1641.013062	661.514343	1585.634521	996.239197	1831.448975	990.646362	-2.1667	-1.177107	-13.14429	0.960237	0.278568	-0.018575	-0.277739	0.959908	0.037922	0.028394	-0.031255	0.999108
TrackerOperationMode_Track	-2.990494	0.051979	160.171188	3065.980957	2.785283	1695.307007	346.771942	1640.988647	661.425781	1585.71106	996.237061	1831.519531	990.753113	-2.196245	-1.178862	-13.162263	0.960146	0.278882	-0.018578	-0.278038	0.959801	0.038438	0.028551	-0.03174	0.999088
TrackerOperationMode_Track	-2.99025	0.052094	160.15802	3065.979736	2.791128	1695.312134	346.771576	1640.981567	661.580566	1585.647827	996.237244	1831.436523	990.756531	-2.160531	-1.17194	-13.157607	0.960176	0.278785	-0.018491	-0.277961	0.959848	0.037807	0.028289	-0.031162	0.999114
TrackerOperationMode_Track	-2.990585	0.052086	160.177658	3066.005859	2.791106	1695.316528	346.786407	1640.946411	661.597595	1585.712158	996.254272	1831.608398	990.65387	-2.15691	-1.182109	-13.179785	0.960061	0.279166	-0.018671	-0.278339	0.959741	0.037754	0.028459	-0.031049	0.999113
TrackerOperationMode_Track	-2.990555	0.051994	160.175064	3065.992432	2.786032	1695.216675	346.669525	1640.889038	661.470581	1585.568604	996.22583	1831.506836	990.7229	-2.172873	-1.179849	-13.164679	0.960135	0.278917	-0.018617	-0.278083	0.959804	0.038031	0.028476	-0.031338	0.999103
TrackerOperationMode_Track	-2.990448	0.052032	160.169342	3065.993896	2.788168	1695.360474	346.695099	1641.003906	661.534546	1585.706055	996.208618	1831.524048	990.717041	-2.159075	-1.174025	-13.165112	0.960137	0.278915	-0.018529	-0.278091	0.959811	0.037785	0.028323	-0.031126	0.999114
TrackerOperationMode_Track	-2.989998	0.05204	160.143631	3065.957764	2.788284	1695.22998	346.812927	1640.994995	661.502502	1585.674316	996.240967	1831.421021	990.721802	-2.182257	-1.179795	-13.146424	0.960226	0.278604	-0.018608	-0.277766	0.959889	0.038194	0.028503	-0.031506	0.999097
TrackerOperationMode_Track	-2.99086	0.052086	160.191452	3065.992432	2.791057	1695.333008	346.716858	1641.079346	661.559021	1585.716919	996.322571	1831.666382	990.690796	-2.162646	-1.183205	-13.152993	0.960189	0.278725	-0.018685	-0.277894	0.959866	0.037855	0.028486	-0.031155	0.999109
TrackerOperationMode_Track	-2.990494	0.052086	160.171036	3065.978027	2.790814	1695.394653	346.781372	1641.124756	661.550598	1585.796997	996.250244	1831.749756	990.680969	-2.168068	-1.185182	-13.160755	0.960152	0.278851	-0.018715	-0.278017	0.959826	0.037951	0.028545	-0.031235	0.999104
